SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,April-21-2023,Single Family Residential,2004 Timmerman Rd,Cortland,NY,13045,534000,4,3.0,Virgil,3116,444312,1834,,171,,Sold,,,https://www.redfin.com/NY/Cortland/2004-Timmerman-Rd-13045/home/125551743,CNYIS,S1466307,N,Y,42.5011887,-76.1915569
PAST SALE,,Single Family Residential,17 Bellrose Ave,Cortland,NY,13045,87500,3,1.5,,1050,5365,1948,,83,,,,,https://www.redfin.com/NY/Cortland/17-Bellrose-Ave-13045/home/125463729,,,N,Y,42.5993698,-76.1934668
PAST SALE,November-4-2025,Single Family Residential,7 Sunnyfield Dr,Cortland,NY,13045,160000,3,1.0,Cortland,1230,6500,1971,,130,,Sold,,,https://www.redfin.com/NY/Cortland/7-Sunnyfield-Dr-13045/home/125282860,CNYIS,S1632369,N,Y,42.588588,-76.1698859
PAST SALE,,Single Family Residential,6005 Morningstar Dr,Homer,NY,13077,275000,3,1.0,,1132,11322,1974,,243,,,,,https://www.redfin.com/NY/Homer/6005-Morningstar-Dr-13077/home/125336509,,,N,Y,42.6970344,-76.1620028
PAST SALE,,Single Family Residential,18 Elm Ave,Homer,NY,13077,224000,4,2.0,,1886,9425,1895,,119,,,,,https://www.redfin.com/NY/Homer/18-Elm-Ave-13077/home/125384643,,,N,Y,42.6381923,-76.1809363
PAST SALE,,Single Family Residential,3630 US Highway 11,Marathon,NY,13803,96000,3,2.0,,1638,58806,1900,,59,,,,,https://www.redfin.com/NY/Marathon/3630-US-Highway-11-13803/home/125320111,,,N,Y,42.583085,-76.126713
PAST SALE,,Single Family Residential,431 Surrey Dr,Cortland,NY,13045,600000,4,2.5,,1972,31868,1967,,304,,,,,https://www.redfin.com/NY/Cortland/431-Surrey-Dr-13045/home/108465605,,,N,Y,42.5774098,-76.2469815
PAST SALE,,Multi-Family (2-4 Unit),80 Maple Ave #2,Cortland,NY,13045,54000,4,2.0,,1352,4181,1900,,40,,,,,https://www.redfin.com/NY/Cortland/80-Maple-Ave-13045/unit-2/home/125266430,,,N,Y,42.6029498,-76.1870455
PAST SALE,December-23-2025,Single Family Residential,9 Levydale Park,Cortland,NY,13045,175000,2,1.0,Cortland,1563,18300,1930,,112,,Sold,,,https://www.redfin.com/NY/Cortland/9-Levydale-Park-13045/home/125298110,CNYIS,S1655648,N,Y,42.5867068,-76.195801
PAST SALE,,Multi-Family (2-4 Unit),2736 Cincinnatus Rd,Cincinnatus,NY,13040,135000,8,3.0,,3298,10311,1930,,41,,,,,https://www.redfin.com/NY/Cincinnatus/2736-Cincinnatus-Rd-13040/home/125538892,,,N,Y,42.539673,-75.895671
PAST SALE,,Single Family Residential,50 Lincoln Ave,Cortland,NY,13045,152500,4,1.5,,1338,3284,1900,,114,,,,,https://www.redfin.com/NY/Cortland/50-Lincoln-Ave-13045/home/125471498,,,N,Y,42.6021158,-76.1851437
PAST SALE,April-24-2023,Single Family Residential,916 Daisy Hollow Rd,Dryden,NY,13053,210000,3,2.0,Dryden,1456,293594,1990,,144,,Sold,,,https://www.redfin.com/NY/Dryden/916-Daisy-Hollow-Rd-13053/home/125498431,IBRMLS,IB408084,N,Y,42.4531532,-76.2396336
PAST SALE,,Vacant Land,81 State Route 38,Richford,NY,13835,225000,3,2.0,,1798,857636,1879,,125,,,,,https://www.redfin.com/NY/Richford/81-State-Route-38-13835/home/184480395,,,N,Y,42.4121882,-76.2071551
PAST SALE,January-3-2024,Single Family Residential,6086 Stevens Rd,Homer,NY,13077,349900,4,3.0,Homer,2250,124582,1973,,156,,Sold,,,https://www.redfin.com/NY/Homer/6086-Stevens-Rd-13077/home/125557795,IBRMLS,R1503079,N,Y,42.7009976,-76.1833704
PAST SALE,,Single Family Residential,8 Pearne Ave,Cortland,NY,13045,240000,2,1.5,,1507,5000,1890,,159,,,,,https://www.redfin.com/NY/Cortland/8-Pearne-Ave-13045/home/125380690,,,N,Y,42.6072704,-76.1802702
PAST SALE,November-8-2023,Single Family Residential,2190 New York 221,Marathon,NY,13803,87000,1,1.5,Marathon,1200,44867,2005,,73,,Sold,,,https://www.redfin.com/NY/Marathon/2190-State-Route-221-13803/home/125344475,IBRMLS,IB409076,N,Y,42.427983,-76.1313385
PAST SALE,February-23-2023,Single Family Residential,6 Broadway Ave,Cortland,NY,13045,161000,3,1.5,Cortland,1590,6889,1910,,101,,Sold,,,https://www.redfin.com/NY/Cortland/6-Broadway-Ave-13045/home/125307753,CNYIS,S1451682,N,Y,42.5914905,-76.191724
PAST SALE,,Vacant Land,973 Beechwood Ln,Cortland,NY,13045,40000,,,,,21889,,,,,,,,https://www.redfin.com/NY/Cortland/973-Beechwood-Ln-13045/home/125401231,,,N,Y,42.5705139,-76.2108452
PAST SALE,,Single Family Residential,4633 McGraw North Rd,Mc Graw,NY,13101,360000,4,3.5,,2592,95832,2005,,139,,,,,https://www.redfin.com/NY/Mc-Graw/4633-McGraw-North-Rd-13101/home/125346064,,,N,Y,42.6310192,-76.0909242
PAST SALE,,Multi-Family (2-4 Unit),99 Elm St Unit B,Cortland,NY,13045,232500,4,2.0,,1576,5497,1920,,148,,,,,https://www.redfin.com/NY/Cortland/99-Elm-St-13045/unit-B/home/125409918,,,N,Y,42.6020777,-76.1681259
PAST SALE,,Single Family Residential,5695 Telephone Road Ext,Cincinnatus,NY,13040,75000,3,1.0,,1740,6709,1880,,43,,,,,https://www.redfin.com/NY/Cincinnatus/5695-Telephone-Road-Ext-13040/home/125311609,,,N,Y,42.541975,-75.9002984
PAST SALE,,Multi-Family (2-4 Unit),34 Union St,Cortland,NY,13045,85000,4,2.0,,1910,6634,1910,,45,,,,,https://www.redfin.com/NY/Cortland/34-Union-St-13045/home/125327032,,,N,Y,42.5931052,-76.1829299
PAST SALE,,Single Family Residential,1166 State Route 41,Willet,NY,13863,310000,4,1.0,,2040,153767,1870,,152,,,,,https://www.redfin.com/NY/Willet/1166-State-Route-41-13863/home/125388281,,,N,Y,42.4635746,-75.887153
PAST SALE,,Multi-Family (2-4 Unit),28 South Ave,Cortland,NY,13045,100000,,,,4330,6591,,,23,,,,,https://www.redfin.com/NY/Cortland/28-South-Ave-13045/home/125534551,,,N,Y,42.5921134,-76.1833519
PAST SALE,May-24-2024,Single Family Residential,812 S Lamont Dr,Cortland,NY,13045,185000,3,1.5,Lamont Acres Sec A,1862,9270,1964,,99,,Sold,,,https://www.redfin.com/NY/Cortland/812-S-Lamont-Dr-13045/home/125381665,CNYIS,S1527010,N,Y,42.5754038,-76.2212223
PAST SALE,,Vacant Land,Hauck Hill Rd,Cortland,NY,13045,150000,,,,,2700720,,,,,,,,https://www.redfin.com/NY/Cortland/Hauck-Hill-Rd-13045/home/125343697,,,N,Y,42.49239,-76.191624
PAST SALE,,Multi-Family (2-4 Unit),165 Central Ave #2,Cortland,NY,13045,155000,4,2.0,,1774,7592,1900,,87,,,,,https://www.redfin.com/NY/Cortland/165-Central-Ave-13045/unit-2/home/125538368,,,N,Y,42.6004208,-76.1670298
PAST SALE,,Single Family Residential,10 Hickory Park Rd,Cortland,NY,13045,420000,3,2.5,,1962,12150,1978,,214,,,,,https://www.redfin.com/NY/Cortland/10-Hickory-Park-Rd-13045/home/125495758,,,N,Y,42.6120853,-76.1589291
PAST SALE,June-27-2024,Vacant Land,0 Ny-392,Cortland,NY,13045,29000,,,,,54450,,,,,Sold,,,https://www.redfin.com/NY/Cortland/Unknown-13045/home/190462698,UNYREIS,EC274022,N,Y,42.493409,-76.115848
PAST SALE,,Single Family Residential,3 Suits Ave,Homer,NY,13077,225000,3,2.0,,1488,22043,1970,,151,,,,,https://www.redfin.com/NY/Homer/3-Suits-Ave-13077/home/125427421,,,N,Y,42.6469829,-76.1903509
PAST SALE,July-9-2024,Multi-Family (5+ Unit),147 Madison St #143,Cortland,NY,13045,850000,15,,Cortland,13794,33390,1890,,62,,Sold,,,https://www.redfin.com/NY/Cortland/147-Madison-St-13045/unit-143/home/125554266,CNYIS,S1551021,N,Y,42.6035608,-76.1950651
PAST SALE,,Multi-Family (5+ Unit),21 Bartlett Ave #19,Cortland,NY,13045,180000,,,,5310,6091,,,34,,,,,https://www.redfin.com/NY/Cortland/21-Bartlett-Ave-13045/unit-19/home/125422026,,,N,Y,42.5967366,-76.1681188
PAST SALE,,Single Family Residential,3672 Abdallah Ave,Cortland,NY,13045,192500,3,1.0,,1200,7086,1955,,160,,,,,https://www.redfin.com/NY/Cortland/3672-Abdallah-Ave-13045/home/125483597,,,N,Y,42.5846679,-76.1963503
PAST SALE,April-20-2023,Single Family Residential,5 Lebanon Dr,Cortland,NY,13045,220000,3,1.5,Fred T Isaf,1590,20690,1971,,138,,Sold,,,https://www.redfin.com/NY/Cortland/5-Lebanon-Dr-13045/home/125513011,CNYIS,S1466373,N,Y,42.6025389,-76.1951576
PAST SALE,February-13-2023,Vacant Land,807 State Route 13 (elmira Rd) Ave,Ithaca,NY,14850,43000,,,Ithaca City,,63162,,,,,Sold,,,https://www.redfin.com/NY/Ithaca/807-14850/home/188868183,IBRMLS,IB405997,N,Y,42.565969,-76.222206
PAST SALE,,Single Family Residential,23 Mildred Ave,Cortland,NY,13045,70000,3,1.0,,1670,6320,1954,,42,,,,,https://www.redfin.com/NY/Cortland/23-Mildred-Ave-13045/home/125453243,,,N,Y,42.6059185,-76.1955619
PAST SALE,,Vacant Land,May Rd,Cincinnatus,NY,13040,52000,,,,,684328,,,,,,,,https://www.redfin.com/NY/Cincinnatus/May-Rd-13040/home/125609020,,,N,Y,42.572974,-75.976162
PAST SALE,March-29-2024,Vacant Land,1256 Route 221,Marathon,NY,13803,12000,,,Marathon,,11900,,,,,Sold,,,https://www.redfin.com/NY/Marathon/1256-State-Route-221-13803/home/125294209,IBRMLS,IB408499,N,Y,42.4344528,-76.1920679
PAST SALE,,Single Family Residential,4609 Briar Hill Rd,Cortland,NY,13045,450000,4,2.5,,2504,87120,1986,,180,,,,,https://www.redfin.com/NY/Cortland/4609-Briar-Hill-Rd-13045/home/125440673,,,N,Y,42.6304086,-76.2138039
PAST SALE,,Single Family Residential,5949 Brackel Rd,Cincinnatus,NY,13040,175000,3,2.5,,2590,215186,1880,,68,,,,,https://www.redfin.com/NY/Cincinnatus/5949-Brackel-Rd-13040/home/125512740,,,N,Y,42.53708,-75.883617
PAST SALE,September-13-2024,Single Family Residential,27 Charles St,Cortland,NY,13045,144329,4,2.0,Cortland,2234,7088,1920,,65,,Sold,,,https://www.redfin.com/NY/Cortland/27-Charles-St-13045/unit-2/home/125308287,CNYIS,S1551009,N,Y,42.6036167,-76.1792225
PAST SALE,April-24-2023,Single Family Residential,188 Creamery Rd,Richford,NY,13835,350000,4,2.5,Harford,2200,241322,2005,,159,,Sold,,,https://www.redfin.com/NY/Richford/188-Creamery-Rd-13835/home/125584668,IBRMLS,IB407818,N,Y,42.4130631,-76.2307798
PAST SALE,,Single Family Residential,4973 Lincklaen Rd,Truxton,NY,13158,75000,2,1.0,,900,14662,1880,,83,,,,,https://www.redfin.com/NY/Truxton/4973-Lincklaen-Rd-13158/home/125523070,,,N,Y,42.7371138,-75.9475084
PAST SALE,January-17-2025,Vacant Land,4545 Sportsman Club Rd,Cincinnatus,NY,13040,110000,4,1.5,Solon,1869,987941,1867,,59,,Sold,,,https://www.redfin.com/NY/Cincinnatus/4545-Sportsman-Club-Rd-13040/home/125510883,CNYIS,S1576985,N,Y,42.628338,-76.0001061
PAST SALE,,Single Family Residential,171 Madison St,Cortland,NY,13045,130000,3,1.0,,1300,5523,1930,,100,,,,,https://www.redfin.com/NY/Cortland/171-Madison-St-13045/home/125375925,,,N,Y,42.6032646,-76.197714
PAST SALE,,Single Family Residential,2292 Harvey Hill Rd,Marathon,NY,13803,130000,2,2.5,,1716,2490325,2002,,76,,,,,https://www.redfin.com/NY/Marathon/2292-Harvey-Hill-Rd-13803/home/125349602,,,N,Y,42.454985,-76.1250079
PAST SALE,,Vacant Land,492 Owego Hill Rd,Harford,NY,13784,54547,,,,,1357765,,,,,,,,https://www.redfin.com/NY/Harford/492-Owego-Hill-Rd-13784/home/125486662,,,N,Y,42.432904,-76.21332
PAST SALE,,Single Family Residential,94 Greenbush St,Cortland,NY,13045,149500,3,1.5,,1289,5151,1920,,116,,,,,https://www.redfin.com/NY/Cortland/94-Greenbush-St-13045/home/125319791,,,N,Y,42.5951613,-76.1753884
PAST SALE,,Single Family Residential,8 W Main St,Marathon,NY,13803,45000,4,1.5,,1600,2066,1870,,28,,,,,https://www.redfin.com/NY/Marathon/8-W-Main-St-13803/home/125385423,,,N,Y,42.4403007,-76.0367378
PAST SALE,March-24-2023,Single Family Residential,159 Landers Corners Rd,Willet,NY,13863,25400,3,1.0,Willet,1388,130680,1905,,18,,Sold,,,https://www.redfin.com/NY/Willet/159-Landers-Corners-Rd-13863/home/125449124,UNYREIS,OD137556,N,Y,42.4148349,-75.94299
PAST SALE,,Single Family Residential,92 Lincoln Ave,Cortland,NY,13045,60000,4,1.0,,1340,1779,1920,,45,,,,,https://www.redfin.com/NY/Cortland/92-Lincoln-Ave-13045/home/125266565,,,N,Y,42.6021113,-76.1894001
PAST SALE,,Single Family Residential,225 Port Watson St Unit B,Cortland,NY,13045,120000,3,2.0,,1870,15203,1910,,64,,,,,https://www.redfin.com/NY/Cortland/225-Port-Watson-St-13045/unit-B/home/125582327,,,N,Y,42.5982443,-76.1613428
PAST SALE,,Single Family Residential,2 Sunset Dr,Homer,NY,13077,250000,4,3.5,,2654,16650,1958,,94,,,,,https://www.redfin.com/NY/Homer/2-Sunset-Dr-13077/home/125539844,,,N,Y,42.6497853,-76.1811816
PAST SALE,December-1-2023,Single Family Residential,83 N Main St,Homer,NY,13077,128000,2,1.0,Homer,907,8303,1890,,141,,Sold,,,https://www.redfin.com/NY/Homer/83-N-Main-St-13077/home/125342373,CNYIS,S1512224,N,Y,42.6439637,-76.1773707
PAST SALE,,Multi-Family (5+ Unit),15 Elm St #13,Cortland,NY,13045,615000,,,,3378,12243,,,182,,,,,https://www.redfin.com/NY/Cortland/15-Elm-St-13045/unit-13/home/125482192,,,N,Y,42.6017276,-76.1767663
PAST SALE,,Single Family Residential,5203 Gee Brook Rd,Cincinnatus,NY,13040,45000,3,2.0,,1792,158994,2000,,25,,,,,https://www.redfin.com/NY/Cincinnatus/5203-Gee-Brook-Rd-13040/home/125511397,,,N,Y,42.4980643,-75.9351555
PAST SALE,,Vacant Land,Switch Rd,Homer,NY,13077,100500,,,,,1454904,,,,,,,,https://www.redfin.com/NY/Homer/Switch-Rd-13077/home/125420928,,,N,Y,42.710158,-76.194622
PAST SALE,,Single Family Residential,7 Ellwood Ave #9,Cortland,NY,13045,288000,2,1.0,,1524,12375,1942,,189,,,,,https://www.redfin.com/NY/Cortland/7-Ellwood-Ave-13045/unit-9/home/125476203,,,N,Y,42.5995468,-76.196373
PAST SALE,,Single Family Residential,12 Euclid Ave,Cortland,NY,13045,243000,3,1.0,,1322,6250,1942,,184,,,,,https://www.redfin.com/NY/Cortland/12-Euclid-Ave-13045/home/125310804,,,N,Y,42.6093161,-76.1834419
PAST SALE,,Other,8 Park Ave,Homer,NY,13077,160000,3,1.0,,928,10133,1900,,172,,,,,https://www.redfin.com/NY/Homer/8-Park-Ave-13077/home/125387477,,,N,Y,42.6332821,-76.1875889
PAST SALE,March-18-2024,Single Family Residential,59 Hamlin St,Cortland,NY,13045,165000,3,1.5,Cortland,1648,9248,1900,,100,,Sold,,,https://www.redfin.com/NY/Cortland/59-Hamlin-St-13045/home/125453287,CNYIS,S1515831,N,Y,42.6054378,-76.1920263
