SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,November-13-2025,Single Family Residential,564 South View Dr,Homer,NY,13077,198000,3,1.0,Country Side Acres,1396,22800,1973,,142,,Sold,,,https://www.redfin.com/NY/Homer/564-Southview-Dr-13077/home/125470799,CNYIS,S1633300,N,Y,42.7061174,-76.2371169
PAST SALE,,Vacant Land,Switch Rd,Homer,NY,13077,100500,,,,,1454904,,,,,,,,https://www.redfin.com/NY/Homer/Switch-Rd-13077/home/125420928,,,N,Y,42.710158,-76.194622
PAST SALE,November-12-2025,Single Family Residential,3897 Highland Rd,Cortland,NY,13045,150150,2,1.0,Town/Cortlandville,1300,35025,1950,,116,,Sold,,,https://www.redfin.com/NY/Cortland/3897-Highland-Rd-13045/home/125446545,CNYIS,S1629365,N,Y,42.5954413,-76.2239767
PAST SALE,,Single Family Residential,1166 State Route 41,Willet,NY,13863,310000,4,1.0,,2040,153767,1870,,152,,,,,https://www.redfin.com/NY/Willet/1166-State-Route-41-13863/home/125388281,,,N,Y,42.4635746,-75.887153
PAST SALE,November-10-2025,Single Family Residential,21 Wadsworth St,Cortland,NY,13045,156000,2,1.0,Cortland,768,6600,1960,,203,,Sold,,,https://www.redfin.com/NY/Cortland/21-Wadsworth-St-13045/home/125521689,CNYIS,S1637534,N,Y,42.6095409,-76.1940495
PAST SALE,,Vacant Land,Mill St,Willet,NY,13863,140000,,,,,52708,,,,,,,,https://www.redfin.com/NY/Willet/Mill-St-13863/home/125803591,,,N,Y,42.468183,-75.90955
PAST SALE,November-10-2025,Single Family Residential,67 Owego St,Cortland,NY,13045,134000,4,1.0,Claudia Flocco,1276,8520,1900,,105,,Sold,,,https://www.redfin.com/NY/Cortland/67-Owego-St-13045/home/125355142,CNYIS,S1634778,N,Y,42.590446,-76.1853922
PAST SALE,November-10-2025,Multi-Family (2-4 Unit),10 Washington St,Cortland,NY,13045,177000,5,2.0,Cortland,1932,10209,1865,,92,,Sold,,,https://www.redfin.com/NY/Cortland/10-Washington-St-13045/home/125533871,IBRMLS,R1617582,N,Y,42.604309,-76.1752478
PAST SALE,November-10-2025,Single Family Residential,8 Pearl St,Cortland,NY,13045,180000,4,2.0,Brian T Tobin,1569,6050,1915,,115,,Sold,,,https://www.redfin.com/NY/Cortland/8-Pearl-St-13045/home/125333303,CNYIS,S1621210,N,Y,42.5901992,-76.1938243
PAST SALE,November-10-2025,Single Family Residential,87 N Main St,Homer,NY,13077,281900,3,2.0,Homer,1950,18500,1940,,145,,Sold,,,https://www.redfin.com/NY/Homer/87-N-Main-St-13077/home/125369709,CNYIS,S1636158,N,Y,42.6444545,-76.177412
PAST SALE,,Single Family Residential,17 Bellrose Ave,Cortland,NY,13045,87500,3,1.5,,1050,5365,1948,,83,,,,,https://www.redfin.com/NY/Cortland/17-Bellrose-Ave-13045/home/125463729,,,N,Y,42.5993698,-76.1934668
PAST SALE,,Vacant Land,7470 Truxton Tully Rd,Tully,NY,13159,110000,2,1.0,,768,4312440,1976,,143,,,,,https://www.redfin.com/NY/Tully/7470-Truxton-Tully-Rd-13159/home/125550732,,,N,Y,42.77023,-76.063693
PAST SALE,November-6-2025,Multi-Family (2-4 Unit),9 Broome St,Marathon,NY,13803,162000,4,2.0,Marathon Village,2048,10626,1920,,79,,Sold,,,https://www.redfin.com/NY/Marathon/9-Broome-St-13803/home/125489735,CNYIS,S1615370,N,Y,42.4404376,-76.0310992
PAST SALE,November-6-2025,Vacant Land,00 Saulsbury Rd,Preble,NY,13141,23000,,,Preble,,35283,,,,,Sold,,,https://www.redfin.com/NY/Preble/00-Saulsbury-RD-13141/home/175865545,CNYIS,S1630907,N,Y,42.76987,-76.132121
PAST SALE,November-6-2025,Single Family Residential,1258 Mill St,Willet,NY,13863,140000,3,1.0,Willet,1308,76230,1870,,107,,Sold,,,https://www.redfin.com/NY/Willet/1258-Mill-St-13863/home/125409448,IBRMLS,R1635888,N,Y,42.4681613,-75.9103449
PAST SALE,,Single Family Residential,6316 SE 11th St,Preble,NY,13141,195000,2,1.0,,1056,69696,1967,,185,,,,,https://www.redfin.com/NY/Preble/6316-SE-11th-St-13141/home/125413059,,,N,Y,42.712728,-76.138289
PAST SALE,,Multi-Family (2-4 Unit),5840 Baldwin Corners Rd,Cincinnatus,NY,13040,412500,4,2.0,,2368,422170,1900,,174,,,,,https://www.redfin.com/NY/Cincinnatus/5840-Baldwin-Corners-Rd-13040/home/178969672,,,N,Y,42.5185808,-75.8908841
PAST SALE,November-4-2025,Single Family Residential,7 Sunnyfield Dr,Cortland,NY,13045,160000,3,1.0,Cortland,1230,6500,1971,,130,,Sold,,,https://www.redfin.com/NY/Cortland/7-Sunnyfield-Dr-13045/home/125282860,CNYIS,S1632369,N,Y,42.588588,-76.1698859
PAST SALE,November-4-2025,Vacant Land,L9.4 Ahrens Rd,Cortlandville,NY,13045,149900,,,Cortland,,1014512,,,,,Sold,,,https://www.redfin.com/NY/Cortlandville/L9-4-Ahrens-Rd-13045/home/196688074,Global MLS,202522725,N,Y,42.578925,-76.16295
PAST SALE,November-4-2025,Single Family Residential,16 Sunnyfield Dr,Cortland,NY,13045,166000,3,1.0,Sunnyfield Slopes Sec Iia,960,7409,1979,,173,,Sold,,,https://www.redfin.com/NY/Cortland/16-Sunnyfield-Dr-13045/home/125515415,CNYIS,S1634966,N,Y,42.5883045,-76.1684667
PAST SALE,November-3-2025,Single Family Residential,1 Brink St,Marathon,NY,13803,130000,6,2.0,Marathon,3540,14784,1890,,37,,Sold,,,https://www.redfin.com/NY/Marathon/1-Brink-St-13803/home/125449023,CNYIS,S1597670,N,Y,42.4405595,-76.0317792
PAST SALE,November-3-2025,Single Family Residential,10 Otter Creek Pl,Cortland,NY,13045,90000,4,2.0,Cortland,1520,10640,1920,,59,,Sold,,,https://www.redfin.com/NY/Cortland/10-Otter-Creek-Pl-13045/home/125565043,CNYIS,S1610347,N,Y,42.6004362,-76.1896936
PAST SALE,October-31-2025,Single Family Residential,6316 Route 11,Homer,NY,13077,195000,2,1.0,Preble,1056,69696,1967,,185,,Sold,,,https://www.redfin.com/NY/Homer/6316-U-S-11-13077/home/197180633,CNYIS,S1630601,N,Y,42.7124084,-76.1385543
PAST SALE,October-31-2025,Vacant Land,0000 Song Mountain Rd Rd,Preble,NY,13141,35000,,,Preble,,135036,,,,,Sold,,,https://www.redfin.com/NY/Preble/Song-Mountain-Rd-13141/home/125569184,CNYIS,S1589070,N,Y,42.775775,-76.167689
PAST SALE,October-31-2025,Condo/Co-op,67-69 Lincoln Ave,Cortland,NY,13045,153000,5,2.0,Gladys Rivers Lands,1478,7020,1900,,104,,Sold,,,https://www.redfin.com/NY/Cortland/6769-Lincoln-Ave-13045/home/175870569,GBAOR,330260,N,Y,42.60178069,-76.18708595
PAST SALE,October-31-2025,Single Family Residential,744 State Route 13,Cortland,NY,13045,310000,6,3.0,Cortlandville,2655,50094,1953,,117,,Sold,,,https://www.redfin.com/NY/Cortland/744-State-Route-13-13045/home/125275020,CNYIS,S1607812,N,Y,42.5617571,-76.2246269
PAST SALE,October-31-2025,Vacant Land,2936 Center Rd,Cincinnatus,NY,13040,98000,,,Freetown,,539708,,,,,Sold,,,https://www.redfin.com/NY/Cincinnatus/2936-Center-Rd-13040/home/125330876,CNYIS,S1625305,N,Y,42.5481878,-76.0140985
PAST SALE,,Vacant Land,5101 Foster Rd,Cortland,NY,13045,592500,4,2.5,,1824,511394,1967,,325,,,,,https://www.redfin.com/NY/Cortland/5101-Foster-Rd-13045/home/125279164,,,N,Y,42.6533057,-76.2353063
PAST SALE,October-30-2025,Vacant Land,Lot 1 Staley Rd,Willet,NY,13863,25900,,,Willet,,229876,,,,,Sold,,,https://www.redfin.com/NY/Willet/Lot-1-Staley-RD-13863/home/192035674,UNYREIS,R1558328,N,Y,42.489056,-75.882215
PAST SALE,,Multi-Family (2-4 Unit),24 Union St,Cortland,NY,13045,155000,5,3.0,,3232,9304,1900,,48,,,,,https://www.redfin.com/NY/Cortland/24-Union-St-13045/home/125379047,,,N,Y,42.5931666,-76.1821322
PAST SALE,October-30-2025,Vacant Land,Lot 2 German Rd,Willet,NY,13863,25900,,,Willet,,229392,,,,,Sold,,,https://www.redfin.com/NY/Willet/Lot-2-German-Rd-13863/home/192133277,UNYREIS,R1558520,N,Y,42.489415,-75.879659
PAST SALE,,Other,Town Line Rd,Homer,NY,13101,84000,,,,,871200,,,,,,,,https://www.redfin.com/NY/Homer/Town-Line-Rd-13101/home/125424216,,,N,Y,42.640834,-76.073741
PAST SALE,,Vacant Land,Westmore Ln,Cortland,NY,13045,44000,,,,,36795,,,,,,,,https://www.redfin.com/NY/Cortland/Westmore-Ln-13045/home/125570944,,,N,Y,42.601903,-76.208067
PAST SALE,October-28-2025,Single Family Residential,6003 Morningstar Dr,Homer,NY,13077,325000,3,1.0,Homer,968,12388,1935,,336,,Sold,,,https://www.redfin.com/NY/Homer/6003-Morningstar-Dr-13077/home/125334048,CNYIS,S1609966,N,Y,42.6968945,-76.1619335
PAST SALE,,Multi-Family (2-4 Unit),22 Squires St,Cortland,NY,13045,135000,3,2.0,,1976,10235,1890,,68,,,,,https://www.redfin.com/NY/Cortland/22-Squires-St-13045/home/125520736,,,N,Y,42.5902885,-76.1882881
PAST SALE,October-27-2025,Vacant Land,245 Route 38,Harford,NY,13784,105000,,,North Tier,,1665299,,,,,Sold,,,https://www.redfin.com/NY/Harford/245-New-York-38-13784/home/175865333,CNYIS,S1626810,N,Y,42.4181276,-76.2176067
PAST SALE,October-24-2025,Single Family Residential,7486 Fair Haven Rd,Homer,NY,13077,415000,2,2.0,Scott,2012,108900,2008,,206,,Sold,,,https://www.redfin.com/NY/Homer/7486-Fair-Haven-Rd-13077/home/125435314,CNYIS,S1633810,N,Y,42.7687463,-76.26768
PAST SALE,,Single Family Residential,481 Nye Rd,Cortland,NY,13045,355000,3,2.0,,2104,89387,1997,,169,,,,,https://www.redfin.com/NY/Cortland/481-Nye-Rd-13045/home/184481016,,,N,Y,42.544308,-76.2444223
PAST SALE,October-24-2025,Single Family Residential,4012 College View Dr,Cortland,NY,13045,330000,5,3.5,Cortlandville,2276,25063,1971,,145,,Sold,,,https://www.redfin.com/NY/Cortland/4012-Collegeview-Dr-13045/home/125380909,CNYIS,S1626184,N,Y,42.6009805,-76.2216148
PAST SALE,October-24-2025,Single Family Residential,1054 Mcgraw Marathon Rd,Marathon,NY,13803,100000,3,1.0,Marathon,1012,19545,1972,,99,,Sold,,,https://www.redfin.com/NY/Marathon/1054-McGraw-Marathon-Rd-13803/home/125338460,CNYIS,S1622470,N,Y,42.4574681,-76.0301948
PAST SALE,,Multi-Family (5+ Unit),16 Monroe Hts,Cortland,NY,13045,435000,,,,5112,14406,,,85,,,,,https://www.redfin.com/NY/Cortland/16-Monroe-Hts-13045/home/125378897,,,N,Y,42.5997803,-76.182855
PAST SALE,October-24-2025,Single Family Residential,3676 Hedgemoor Dr,Cortland,NY,13045,405000,3,2.5,Cortlandville,2377,30056,2007,,170,,Sold,,,https://www.redfin.com/NY/Cortland/3676-Hedgemoor-Dr-13045/home/125519882,CNYIS,S1573848,N,Y,42.5840411,-76.2298957
PAST SALE,October-24-2025,Single Family Residential,5174 Brake Hill Rd,Homer,NY,13077,383000,4,3.0,Homer,2496,65340,1989,,153,,Sold,,,https://www.redfin.com/NY/Homer/5174-Brake-Hill-Rd-13077/home/125327245,CNYIS,S1627237,N,Y,42.6564964,-76.1990052
PAST SALE,October-24-2025,Single Family Residential,9 Galatia St,Marathon,NY,13803,160000,2,2.0,Marathon Village,1292,11585,1880,,124,,Sold,,,https://www.redfin.com/NY/Marathon/9-Galatia-St-13803/home/125385632,CNYIS,S1629441,N,Y,42.4452198,-76.0320059
PAST SALE,October-24-2025,Single Family Residential,7528 Song Lake Rd,Tully,NY,13159,755000,3,3.0,Preble,2388,33977,1994,,316,,Sold,,,https://www.redfin.com/NY/Tully/7528-Song-Lake-Rd-13159/home/108362338,CNYIS,S1628894,N,Y,42.7701839,-76.1506806
PAST SALE,October-24-2025,Single Family Residential,481 Nye Rd,Cortland,NY,13045,355000,3,2.5,Virgil,2104,89387,1997,,169,,Sold,,,https://www.redfin.com/NY/Cortland/481-Nye-Rd-13045/home/125469602,CNYIS,S1636716,N,Y,42.5442987,-76.2444042
PAST SALE,October-23-2025,Single Family Residential,6449 W Scott Rd,Homer,NY,13077,195000,4,3.0,Scott,3036,174240,1960,,64,,Sold,,,https://www.redfin.com/NY/Homer/6449-W-Scott-Rd-13077/home/125419523,CNYIS,S1599909,N,Y,42.7195594,-76.256036
PAST SALE,October-23-2025,Single Family Residential,18 Pine St,Cortland,NY,13045,161002,3,1.0,Cortland,960,11761,1900,,168,,Sold,,,https://www.redfin.com/NY/Cortland/18-Pine-St-13045/home/189299388,IBRMLS,R1631914,N,Y,42.5901662,-76.1816982
PAST SALE,October-21-2025,Single Family Residential,5 Evergreen St,Cortland,NY,13045,67200,3,1.5,Cortland,1280,3973,1900,,53,,Sold,,,https://www.redfin.com/NY/Cortland/5-Evergreen-St-13045/home/125442275,CNYIS,S1609167,N,Y,42.6101505,-76.1869745
PAST SALE,,Vacant Land,413 Landers Corners Rd,Willet,NY,13863,30000,,,,,1219680,,,,,,,,https://www.redfin.com/NY/Willet/413-Landers-Corners-Rd-13863/home/125425820,,,N,Y,42.42969,-75.948035
PAST SALE,,Vacant Land,2751 State Route 26,Cincinnatus,NY,13040,7250,,,,,208652,,,,,,,,https://www.redfin.com/NY/Cincinnatus/2751-State-Route-26-13040/home/125353843,,,N,Y,42.5395619,-75.905603
PAST SALE,,Vacant Land,1156 Driftwood Dr,Willet,NY,13863,50000,,,,,40511,,,,,,,,https://www.redfin.com/NY/Willet/1156-Driftwood-Dr-13863/home/125803791,,,N,Y,42.460588,-75.890375
PAST SALE,October-17-2025,Vacant Land,Telephone Rd,Cincinnatus,NY,13040,200000,,,Cincinnatus,,3005640,,,,,Sold,,,https://www.redfin.com/NY/Cincinnatus/0-Telephone-Rd-13040/home/184159592,CNYIS,S1616239,N,Y,42.5415894,-75.9016668
PAST SALE,October-16-2025,Single Family Residential,3668 Page Green Rd,Cortland,NY,13045,175000,3,1.0,Cortlandville,1169,10200,1952,,150,,Sold,,,https://www.redfin.com/NY/Cortland/3668-Page-Green-Rd-13045/home/125455184,CNYIS,S1609926,N,Y,42.5848549,-76.1782344
PAST SALE,,Single Family Residential,571 State Route 90,Cortland,NY,13045,95000,2,1.0,,1046,37000,1950,,91,,,,,https://www.redfin.com/NY/Cortland/571-State-Route-90-13045/home/125337171,,,N,Y,42.6424509,-76.2367244
PAST SALE,October-16-2025,Single Family Residential,15 Galatia St,Marathon,NY,13803,160000,3,1.5,Marathon,1512,11030,1890,,106,,Sold,,,https://www.redfin.com/NY/Marathon/15-Galatia-St-13803/home/125359902,CNYIS,S1530525,N,Y,42.4457996,-76.032043
PAST SALE,October-15-2025,Vacant Land,0 Hauck Hill Rd,Cortland,NY,13045,46000,,,Virgil,,400752,,,,,Sold,,,https://www.redfin.com/NY/Cortland/Hauck-Hill-Rd-13045/home/125396750,CNYIS,S1562004,N,Y,42.48862,-76.184992
PAST SALE,October-15-2025,Mobile/Manufactured Home,6203 Cuyler Hill Rd,Truxton,NY,13158,295000,3,2.0,Cuyler,1960,171804,2003,,151,,Sold,,,https://www.redfin.com/NY/Truxton/6203-Cuyler-Hill-Rd-13158/home/125292287,CNYIS,S1631866,N,Y,42.7057702,-75.9299867
PAST SALE,,Single Family Residential,31 James St,Homer,NY,13077,47250,4,1.5,,1370,15840,1870,,34,,,,,https://www.redfin.com/NY/Homer/31-James-St-13077/home/125325246,,,N,Y,42.6371007,-76.1814943
PAST SALE,October-14-2025,Single Family Residential,90 E Court St,Cortland,NY,13045,170000,4,1.5,Cortland,1430,4906,1900,,119,,Sold,,,https://www.redfin.com/NY/Cortland/90-E-Court-St-13045/home/125443889,CNYIS,S1621711,N,Y,42.5998998,-76.1680491
PAST SALE,,Multi-Family (2-4 Unit),4 Maple Ave,Cortland,NY,13045,276750,7,3.5,,2970,3773,1887,,93,,,,,https://www.redfin.com/NY/Cortland/4-Maple-Ave-13045/home/125466085,,,N,Y,42.6032787,-76.1810825
PAST SALE,October-10-2025,Single Family Residential,91 Wheeler Ave,Cortland,NY,13045,178000,3,1.0,Leon D Snyder & Rena L Sn,1252,6600,1952,,142,,Sold,,,https://www.redfin.com/NY/Cortland/91-Wheeler-Ave-13045/home/125411494,CNYIS,S1621392,N,Y,42.6109714,-76.1951958
PAST SALE,,Single Family Residential,108 S Main St,Homer,NY,13077,352500,5,1.5,,2492,18975,1885,,141,,,,,https://www.redfin.com/NY/Homer/108-S-Main-St-13077/home/125549466,,,N,Y,42.6309005,-76.1795684
PAST SALE,,Vacant Land,Hauck Hill Rd,Cortland,NY,13045,150000,,,,,2700720,,,,,,,,https://www.redfin.com/NY/Cortland/Hauck-Hill-Rd-13045/home/125343697,,,N,Y,42.49239,-76.191624
PAST SALE,October-10-2025,Single Family Residential,5840 Baldwin Rd,Cincinnatus,NY,13040,275000,5,3.0,Cincinnatus,2368,413820,1900,,116,,Sold,,,https://www.redfin.com/NY/Cincinnatus/5840-Baldwin-RD-13040/home/196511764,GBAOR,332118,N,Y,42.52036,-75.89876
PAST SALE,October-9-2025,Mobile/Manufactured Home,2886 Us Highway 11,Marathon,NY,13803,136000,3,2.0,Cortlandville,1248,45302,1990,,109,,Sold,,,https://www.redfin.com/NY/Marathon/2886-US-Highway-11-13803/home/125324826,CNYIS,S1620689,N,Y,42.5466602,-76.0968612
PAST SALE,,Single Family Residential,7 Ridgeview Ave,Cortland,NY,13045,399000,3,2.5,,2220,17667,1988,,180,,,,,https://www.redfin.com/NY/Cortland/7-Ridgeview-Ave-13045/home/125378461,,,N,Y,42.6099459,-76.2001014
PAST SALE,,Single Family Residential,162 Groton Ave,Cortland,NY,13045,262500,3,1.0,,1264,7500,1945,,208,,,,,https://www.redfin.com/NY/Cortland/162-Groton-Ave-13045/home/125300946,,,N,Y,42.6009011,-76.194638
PAST SALE,October-8-2025,Vacant Land,Lot 4 German Rd,Willet,NY,13863,28000,,,Willet,,288605,,,,,Sold,,,https://www.redfin.com/NY/Willet/Lot-4-German-Rd-13863/home/192148767,UNYREIS,R1560059,N,Y,42.487478,-75.879488
PAST SALE,,Single Family Residential,5415 Telephone Rd,Cincinnatus,NY,13040,187500,3,1.0,,1680,96836,1890,,112,,,,,https://www.redfin.com/NY/Cincinnatus/5415-Telephone-Rd-13040/home/178969666,,,N,Y,42.5541982,-75.9232935
PAST SALE,,Vacant Land,3845 Cheningo Solon Pond Rd,Cincinnatus,NY,13040,117000,5,1.0,,1435,,1890,,82,,,,,https://www.redfin.com/NY/Cincinnatus/3845-Cheningo-Solon-Pond-Rd-13040/home/195100513,,,N,Y,42.5930179,-75.901768
PAST SALE,October-6-2025,Single Family Residential,6271 State Route 41,Homer,NY,13077,249500,3,2.0,Scott,1650,25700,1850,,151,,Sold,,,https://www.redfin.com/NY/Homer/6271-State-Route-41-13077/home/125325304,CNYIS,S1618493,N,Y,42.7096353,-76.2382938
PAST SALE,,Vacant Land,United States Route 11,Cortland,NY,13045,11000,,,,,178596,,,,,,,,https://www.redfin.com/NY/Cortland/United-States-Route-11-13045/home/125310435,,,N,Y,42.568071,-76.119341
PAST SALE,October-6-2025,Vacant Land,7398 Palmer Rd #7396,Tully,NY,13159,137500,6,3.5,Miller-Eaton Enterprises,,30492,1950,,,,Sold,,,https://www.redfin.com/NY/Tully/7398-Palmer-Rd-13159/unit-7396/home/125532590,CNYIS,S1611872,N,Y,42.764257,-76.1467353
PAST SALE,October-3-2025,Single Family Residential,60 Wheeler Ave,Cortland,NY,13045,138000,2,1.0,Cortland,1006,6150,1957,,137,,Sold,,,https://www.redfin.com/NY/Cortland/60-Wheeler-Ave-13045/home/125270475,CNYIS,S1622862,N,Y,42.6107015,-76.1925821
PAST SALE,October-3-2025,Single Family Residential,120 Elm St,Cortland,NY,13045,131000,2,1.5,Cortland,1254,6370,1935,,104,,Sold,,,https://www.redfin.com/NY/Cortland/120-Elm-St-13045/home/125382631,CNYIS,S1617674,N,Y,42.6025222,-76.1663415
